record_type,city,record_id,field,baseline_value,priority,status
project,נתניה,net-mashknot-hapark,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,street_number,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,latitude,32.30321,HIGH,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,longitude,34.87567,HIGH,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,parking,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,storage,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,mamad,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,balcony,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,garden,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,promotions,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-mashknot-hapark,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,architect,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,address,,HIGH,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,street,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,street_number,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,latitude,32.30321,HIGH,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,longitude,34.87567,HIGH,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,permit_status,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,room_range,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,parking,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,storage,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,mamad,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,balcony,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,garden,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,promotions,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-gindi-newnorth,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,architect,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,address,,HIGH,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,street,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,street_number,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,latitude,32.30321,HIGH,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,longitude,34.87567,HIGH,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,permit_status,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,construction_status,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,room_range,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,storage,,NORMAL,MISSING_BEFORE_V2
project,נתניה,net-ashdar-country,mamad,,NORMAL,MISSING_BEFORE_V2
