record_type,city,field,before_known,before_total,before_pct,after_known,after_total,after_pct,delta_known,delta_pct_points,remaining_unknown
sold_context,אשקלון,rooms,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,product_type,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,internal_area,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,balcony_area,0,2,0.0,0,2,0.0,0,0.0,2
sold_context,אשקלון,garden_area,0,2,0.0,0,2,0.0,0,0.0,2
sold_context,אשקלון,outdoor_area,0,2,0.0,0,2,0.0,0,0.0,2
sold_context,אשקלון,floor,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,number_of_levels,0,2,0.0,0,2,0.0,0,0.0,2
sold_context,אשקלון,deal_amount,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,record_id,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,deal_date,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,source_url,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,lat,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,אשקלון,lng,2,2,100.0,2,2,100.0,0,0.0,0
sold_context,נתניה,rooms,0,1,0.0,1,2,50.0,1,50.0,1
sold_context,נתניה,product_type,1,1,100.0,2,2,100.0,1,0.0,0
sold_context,נתניה,internal_area,1,1,100.0,2,2,100.0,1,0.0,0
sold_context,נתניה,balcony_area,1,1,100.0,1,2,50.0,0,-50.0,1
sold_context,נתניה,garden_area,0,1,0.0,0,2,0.0,0,0.0,2
sold_context,נתניה,outdoor_area,1,1,100.0,1,2,50.0,0,-50.0,1
sold_context,נתניה,floor,1,1,100.0,1,2,50.0,0,-50.0,1
sold_context,נתניה,number_of_levels,0,1,0.0,0,2,0.0,0,0.0,2
sold_context,נתניה,deal_amount,1,1,100.0,2,2,100.0,1,0.0,0
sold_context,נתניה,record_id,1,1,100.0,2,2,100.0,1,0.0,0
sold_context,נתניה,deal_date,0,1,0.0,1,2,50.0,1,50.0,1
sold_context,נתניה,source_url,1,1,100.0,2,2,100.0,1,0.0,0
sold_context,נתניה,lat,1,1,100.0,2,2,100.0,1,0.0,0
sold_context,נתניה,lng,1,1,100.0,2,2,100.0,1,0.0,0
sold_context,תל אביב-יפו,rooms,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,product_type,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,internal_area,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,balcony_area,0,4,0.0,0,4,0.0,0,0.0,4
sold_context,תל אביב-יפו,garden_area,0,4,0.0,0,4,0.0,0,0.0,4
sold_context,תל אביב-יפו,outdoor_area,0,4,0.0,0,4,0.0,0,0.0,4
sold_context,תל אביב-יפו,floor,3,4,75.0,3,4,75.0,0,0.0,1
sold_context,תל אביב-יפו,number_of_levels,0,4,0.0,0,4,0.0,0,0.0,4
sold_context,תל אביב-יפו,deal_amount,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,record_id,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,deal_date,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,source_url,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,lat,4,4,100.0,4,4,100.0,0,0.0,0
sold_context,תל אביב-יפו,lng,4,4,100.0,4,4,100.0,0,0.0,0
