match_type,special_type,address_special,address_normal,parcel_key,date_special,date_normal,date_difference_days,rooms_special,rooms_normal,area_special,area_normal,area_difference_pct,floor_special,floor_normal,price_special,price_normal,price_delta,price_delta_pct,ppm_special,ppm_normal,ppm_delta,ppm_delta_pct,source_special,source_normal,source_id_special,source_id_normal
same_parcel,garden,אבן עזרא 61,שפירא 17,,2026-02-01,2026-07-14,163,3.0,3.0,74.0,68.0,0.08823529411764706,0.0,,,,,,20270.0,15294.0,4976.0,0.3253563488949915,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,,,2026-02-01,2026-07-14,163,3.0,3.0,74.0,75.0,0.013333333333333334,0.0,,,,,,20270.0,21360.0,-1090.0,-0.05102996254681648,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-13,162,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,11217.0,9053.0,0.8070785414995096,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,,,2026-02-01,2026-07-13,162,3.0,3.0,74.0,76.0,0.02631578947368421,0.0,,,,,,20270.0,11462.0,8808.0,0.7684522770895131,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-13,162,3.0,3.0,74.0,80.0,0.075,0.0,,,,,,20270.0,11147.0,9123.0,0.8184264824616488,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,מודיעין 5,,2026-02-01,2026-07-12,161,3.0,3.0,74.0,63.0,0.1746031746031746,0.0,,,,,,20270.0,28333.0,-8063.0,-0.284579818586101,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרך ארץ 12,,2026-02-01,2026-07-09,158,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,11241.0,9029.0,0.8032203540610267,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,עמיעוז 11,,2026-02-01,2026-07-08,157,3.0,3.0,74.0,68.0,0.08823529411764706,0.0,,,,,,20270.0,15294.0,4976.0,0.3253563488949915,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,ניר עוז 14,,2026-02-01,2026-07-08,157,3.0,3.0,74.0,78.0,0.05128205128205128,0.0,,,,,,20270.0,22564.0,-2294.0,-0.10166637121077823,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,הרב יוסף שרביט 5,,2026-02-01,2026-07-07,156,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,20886.0,-616.0,-0.029493440582208177,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,דרום אפריקה 6,,2026-02-01,2026-07-07,156,3.0,3.0,74.0,80.0,0.075,0.0,,,,,,20270.0,16875.0,3395.0,0.2011851851851852,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,ניר עוז 14,,2026-02-01,2026-07-07,156,3.0,3.0,74.0,78.0,0.05128205128205128,0.0,,,,,,20270.0,22564.0,-2294.0,-0.10166637121077823,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,יוספטל 22,,2026-02-01,2026-07-07,156,3.0,3.0,74.0,58.0,0.27586206896551724,0.0,,,,,,20270.0,13793.0,6477.0,0.46958602189516424,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,הרב יוסף שרביט 7,,2026-02-01,2026-07-07,156,3.0,3.0,74.0,75.0,0.013333333333333334,0.0,,,,,,20270.0,21067.0,-797.0,-0.03783167987848293,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,הרב יוסף שרביט 5,,2026-02-01,2026-07-06,155,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,20886.0,-616.0,-0.029493440582208177,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,,,2026-02-01,2026-07-05,154,3.0,3.0,74.0,77.0,0.03896103896103896,0.0,,,,,,20270.0,11702.0,8568.0,0.732182532900359,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,הרב יוסף שרביט 5,,2026-02-01,2026-07-02,151,3.0,3.0,74.0,78.0,0.05128205128205128,0.0,,,,,,20270.0,11231.0,9039.0,0.8048259282343514,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,הרב יוסף שרביט 5,,2026-02-01,2026-07-01,150,3.0,3.0,74.0,79.0,0.06329113924050633,0.0,,,,,,20270.0,20886.0,-616.0,-0.029493440582208177,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
